appId,url,adSupported,containsAds,released,title,score,reviews,price,free,genre,ratings,installs,size,contentRating,contentRatingDescription
com.amdroidalarmclock.amdroid,https://play.google.com/store/apps/details?id=com.amdroidalarmclock.amdroid&hl=en&gl=us,True,True,"May 25, 2014",Alarm Clock for Heavy Sleepers — Loud + Smart Math,4.5363197,19057.0,0.0,True,Productivity,47996.0,"1,000,000+",17M,Everyone,
com.hotornot.app,https://play.google.com/store/apps/details?id=com.hotornot.app&hl=en&gl=us,True,True,"May 22, 2013",Hot or Not - Find someone right now,4.062455,70451.0,0.0,True,Dating,337353.0,"10,000,000+",24M,Mature 17+,
com.oovoo,https://play.google.com/store/apps/details?id=com.oovoo&hl=en&gl=us,True,True,"Oct 25, 2010","ooVoo Video Calls, Messaging & Stories",4.3077626,297844.0,0.0,True,Social,1153824.0,"50,000,000+",34M,Everyone,
io.strongapp.strong,https://play.google.com/store/apps/details?id=io.strongapp.strong&hl=en&gl=us,,,"Apr 9, 2017",Strong - Workout Tracker Gym Log,4.7877865,6081.0,0.0,True,Health & Fitness,19739.0,"500,000+",97M,Everyone,
com.dualboot.apps.ocean,https://play.google.com/store/apps/details?id=com.dualboot.apps.ocean&hl=en&gl=us,,,"Aug 24, 2012",Ocean HD,4.282051,2983.0,1.99,False,Personalization,6624.0,"100,000+",8.4M,Everyone,
com.vyroai.AutoCutCut,https://play.google.com/store/apps/details?id=com.vyroai.AutoCutCut&hl=en&gl=us,True,True,"Oct 8, 2019",Background changer - Background Eraser - Cut Cut,4.4579024,6592.0,0.0,True,Photography,14114.0,"1,000,000+",19M,Everyone,
com.linecorp.b612.android,https://play.google.com/store/apps/details?id=com.linecorp.b612.android&hl=en&gl=us,,,"Oct 9, 2014",B612 - Beauty & Filter Camera,4.3389244,2227035.0,0.0,True,Photography,6566436.0,"500,000,000+",Varies with device,Everyone,
com.google.android.inputmethod.latin,https://play.google.com/store/apps/details?id=com.google.android.inputmethod.latin&hl=en&gl=us,,,"Jun 5, 2013",Gboard - the Google Keyboard,4.5243926,2023913.0,0.0,True,Tools,5621464.0,"1,000,000,000+",Varies with device,Everyone,
com.memrise.android.memrisecompanion,https://play.google.com/store/apps/details?id=com.memrise.android.memrisecompanion&hl=en&gl=us,,,"May 20, 2013","Learn Languages with Memrise - Spanish, French",4.5538473,524767.0,0.0,True,Education,1316723.0,"10,000,000+",8.3M,Everyone,
com.outfit7.talkinggingerfree,https://play.google.com/store/apps/details?id=com.outfit7.talkinggingerfree&hl=en&gl=us,True,True,"Sep 15, 2012",Talking Ginger,3.9805264,571291.0,0.0,True,Entertainment,1835963.0,"100,000,000+",Varies with device,Everyone,
